respondent_id,city,age_group,order_frequency_per_week,avg_spend_inr,cuisine_preference,order_time,uses_subscription,prefers_veg,orders_via
99,Bengaluru,18-24,4,299,Chinese,Dinner,1,1,WhatsApp
100,Bengaluru,25-34,5,409,South Indian,Breakfast,0,0,Direct App
101,Bengaluru,25-34,2,240,Chinese,Dinner,1,0,WhatsApp
102,Bengaluru,18-24,5,295,North Indian,Lunch,0,0,Zomato
103,Bengaluru,18-24,5,529,South Indian,Dinner,0,1,Direct App
104,Bengaluru,45-54,2,544,South Indian,Late Night,0,0,Zomato
105,Bengaluru,18-24,5,301,Chinese,Late Night,0,0,WhatsApp
106,Bengaluru,18-24,3,154,South Indian,Breakfast,0,0,Swiggy
107,Bengaluru,18-24,4,180,North Indian,Late Night,0,0,Swiggy
108,Bengaluru,18-24,6,119,Continental,Late Night,0,0,WhatsApp
109,Bengaluru,25-34,3,326,South Indian,Dinner,0,0,WhatsApp
110,Bengaluru,25-34,3,291,Chinese,Dinner,0,0,Swiggy
111,Bengaluru,45-54,3,434,North Indian,Lunch,0,0,Zomato
112,Bengaluru,25-34,4,211,South Indian,Lunch,0,0,Swiggy
113,Bengaluru,18-24,6,389,Fast Food,Dinner,0,1,Direct App
114,Bengaluru,35-44,4,458,Fast Food,Dinner,1,0,Zomato
115,Bengaluru,25-34,4,357,Healthy,Late Night,0,0,Direct App
116,Bengaluru,25-34,5,266,Continental,Late Night,0,0,Direct App
117,Bengaluru,25-34,3,178,Chinese,Late Night,0,0,Swiggy
118,Bengaluru,35-44,2,537,Fast Food,Dinner,0,0,Swiggy
119,Bengaluru,45-54,1,385,South Indian,Dinner,0,1,WhatsApp
120,Bengaluru,25-34,4,182,South Indian,Dinner,1,0,WhatsApp
121,Bengaluru,45-54,2,559,South Indian,Dinner,0,0,Zomato
122,Bengaluru,25-34,4,460,South Indian,Dinner,1,1,Swiggy
123,Bengaluru,25-34,2,476,South Indian,Lunch,1,0,Swiggy
124,Bengaluru,25-34,3,211,South Indian,Dinner,0,0,WhatsApp
125,Bengaluru,25-34,3,479,North Indian,Dinner,0,1,WhatsApp
126,Bengaluru,35-44,2,291,North Indian,Dinner,0,1,Zomato
127,Bengaluru,25-34,2,311,South Indian,Breakfast,0,1,Swiggy
128,Bengaluru,25-34,2,209,Healthy,Lunch,0,1,Direct App
129,Bengaluru,25-34,5,432,Chinese,Dinner,0,0,Zomato
130,Bengaluru,45-54,1,368,Healthy,Dinner,1,0,WhatsApp
131,Bengaluru,25-34,4,519,South Indian,Dinner,0,1,WhatsApp
132,Bengaluru,35-44,3,466,Chinese,Dinner,0,1,WhatsApp
133,Bengaluru,25-34,3,325,North Indian,Lunch,0,0,Zomato
134,Bengaluru,35-44,3,391,South Indian,Dinner,0,1,WhatsApp
135,Bengaluru,25-34,2,428,Healthy,Dinner,1,0,Swiggy
136,Bengaluru,18-24,3,388,South Indian,Late Night,0,1,Swiggy
137,Bengaluru,25-34,3,370,Fast Food,Dinner,0,1,Zomato
138,Bengaluru,18-24,4,216,South Indian,Dinner,0,0,Swiggy
139,Bengaluru,35-44,2,333,Healthy,Late Night,0,0,WhatsApp
140,Bengaluru,35-44,2,460,North Indian,Breakfast,0,1,Zomato
141,Bengaluru,35-44,3,314,North Indian,Dinner,0,1,WhatsApp
142,Bengaluru,18-24,5,281,North Indian,Lunch,0,0,Direct App
143,Bengaluru,25-34,4,373,Chinese,Lunch,0,1,Zomato
144,Bengaluru,18-24,3,220,South Indian,Dinner,0,0,Zomato
145,Bengaluru,18-24,5,302,Chinese,Dinner,0,1,WhatsApp
146,Bengaluru,35-44,2,391,North Indian,Dinner,0,0,Direct App
147,Bengaluru,25-34,5,269,South Indian,Dinner,1,0,WhatsApp
148,Bengaluru,35-44,3,360,South Indian,Lunch,0,0,Direct App
149,Bengaluru,18-24,4,327,South Indian,Late Night,0,1,Swiggy
150,Bengaluru,35-44,2,404,Healthy,Dinner,1,1,Zomato
151,Bengaluru,25-34,4,399,Fast Food,Lunch,0,1,Zomato
152,Bengaluru,25-34,3,400,Fast Food,Late Night,0,0,Direct App
153,Bengaluru,35-44,2,461,South Indian,Breakfast,1,0,Zomato
154,Bengaluru,35-44,2,321,South Indian,Late Night,0,0,Zomato
155,Bengaluru,18-24,6,315,Chinese,Late Night,1,1,Direct App
156,Bengaluru,35-44,1,264,North Indian,Dinner,1,0,WhatsApp
157,Bengaluru,45-54,3,507,South Indian,Late Night,1,0,Swiggy
158,Bengaluru,25-34,4,373,Fast Food,Dinner,0,1,Direct App
159,Bengaluru,18-24,4,197,North Indian,Lunch,1,0,Zomato
160,Bengaluru,25-34,4,262,Chinese,Dinner,1,1,Swiggy
161,Bengaluru,18-24,5,232,South Indian,Late Night,0,0,Zomato
162,Bengaluru,25-34,4,435,Continental,Lunch,0,0,Zomato
163,Bengaluru,35-44,2,399,Healthy,Dinner,0,1,Direct App
164,Bengaluru,18-24,5,321,Chinese,Lunch,1,1,Swiggy
165,Bengaluru,45-54,3,367,Healthy,Lunch,0,0,Direct App
166,Bengaluru,18-24,3,355,Healthy,Lunch,0,1,Swiggy
167,Bengaluru,18-24,2,369,Continental,Lunch,1,0,Zomato
168,Bengaluru,25-34,3,319,South Indian,Late Night,1,1,Swiggy
169,Bengaluru,18-24,3,233,Continental,Late Night,0,1,Swiggy
170,Bengaluru,25-34,4,249,North Indian,Breakfast,1,0,Direct App
171,Bengaluru,18-24,5,367,North Indian,Lunch,0,0,Swiggy
172,Bengaluru,25-34,3,354,Chinese,Dinner,0,0,Swiggy
173,Bengaluru,35-44,3,341,Fast Food,Late Night,0,1,Swiggy
174,Bengaluru,18-24,4,260,South Indian,Dinner,0,0,WhatsApp
175,Bengaluru,18-24,4,205,Fast Food,Breakfast,0,0,Direct App
176,Bengaluru,25-34,4,362,South Indian,Dinner,0,0,Swiggy
177,Bengaluru,35-44,4,471,Fast Food,Dinner,1,0,WhatsApp
178,Bengaluru,35-44,4,307,Healthy,Dinner,0,1,Direct App
179,Bengaluru,25-34,4,335,South Indian,Dinner,0,1,Swiggy
180,Bengaluru,18-24,6,203,Chinese,Breakfast,1,0,Zomato
181,Bengaluru,25-34,3,269,Chinese,Dinner,0,0,Direct App
182,Bengaluru,35-44,1,330,Chinese,Late Night,1,0,Direct App
183,Bengaluru,25-34,3,332,Chinese,Lunch,0,1,Zomato
184,Bengaluru,35-44,3,558,Chinese,Lunch,0,0,Zomato
185,Bengaluru,35-44,3,325,Continental,Late Night,1,1,Swiggy
186,Bengaluru,25-34,3,361,Fast Food,Dinner,0,0,Direct App
187,Bengaluru,45-54,0,621,North Indian,Lunch,0,1,Swiggy
188,Bengaluru,18-24,5,227,North Indian,Dinner,1,0,WhatsApp
189,Bengaluru,25-34,2,435,South Indian,Lunch,0,1,Swiggy
190,Bengaluru,35-44,2,497,Fast Food,Lunch,0,0,WhatsApp
191,Bengaluru,25-34,2,269,Chinese,Dinner,0,1,Swiggy
192,Bengaluru,25-34,4,323,Fast Food,Lunch,0,0,Direct App
193,Bengaluru,18-24,4,303,Chinese,Dinner,0,0,Zomato
194,Bengaluru,35-44,1,366,South Indian,Dinner,0,0,WhatsApp
195,Bengaluru,18-24,4,296,Fast Food,Dinner,0,1,Direct App
196,Bengaluru,18-24,5,174,North Indian,Late Night,0,1,Direct App
197,Bengaluru,25-34,3,294,Fast Food,Dinner,0,0,Swiggy
198,Bengaluru,45-54,2,645,Continental,Lunch,0,1,Direct App
199,Bengaluru,18-24,4,362,South Indian,Late Night,0,0,WhatsApp
200,Bengaluru,35-44,4,546,South Indian,Dinner,1,0,Swiggy
201,Bengaluru,25-34,3,402,Fast Food,Lunch,0,1,Zomato
202,Bengaluru,18-24,5,355,North Indian,Lunch,0,1,Swiggy
203,Bengaluru,18-24,3,308,Chinese,Dinner,1,1,WhatsApp
204,Bengaluru,25-34,5,170,Fast Food,Late Night,1,0,Direct App
205,Bengaluru,18-24,3,120,Chinese,Breakfast,0,0,Swiggy
206,Bengaluru,25-34,3,380,Chinese,Breakfast,0,0,Direct App
207,Bengaluru,18-24,6,249,Healthy,Late Night,0,0,WhatsApp
208,Bengaluru,25-34,4,348,Fast Food,Late Night,0,1,Zomato
209,Bengaluru,25-34,3,387,North Indian,Dinner,0,0,Direct App
210,Bengaluru,45-54,1,236,Fast Food,Breakfast,0,1,WhatsApp
211,Bengaluru,25-34,3,354,South Indian,Dinner,1,0,Direct App
212,Bengaluru,25-34,5,197,Fast Food,Breakfast,0,0,WhatsApp
213,Bengaluru,25-34,3,313,Fast Food,Dinner,1,1,Direct App
214,Bengaluru,18-24,3,294,Healthy,Dinner,0,1,WhatsApp
215,Bengaluru,18-24,5,239,North Indian,Dinner,0,1,Direct App
216,Bengaluru,35-44,4,349,Healthy,Dinner,1,1,Swiggy
217,Bengaluru,25-34,3,279,South Indian,Dinner,0,0,Zomato
218,Bengaluru,25-34,3,272,North Indian,Dinner,1,0,Direct App
219,Bengaluru,35-44,1,361,Fast Food,Lunch,1,1,Swiggy
220,Bengaluru,25-34,4,125,Fast Food,Late Night,0,0,Zomato
221,Bengaluru,35-44,2,384,Healthy,Dinner,0,0,WhatsApp
222,Bengaluru,25-34,4,422,Continental,Dinner,0,1,WhatsApp
223,Bengaluru,18-24,5,216,Continental,Lunch,1,1,Zomato
224,Bengaluru,25-34,3,369,Continental,Late Night,0,0,WhatsApp
225,Bengaluru,25-34,3,215,North Indian,Dinner,0,1,Direct App
226,Bengaluru,18-24,6,238,South Indian,Dinner,1,1,Swiggy
227,Bengaluru,25-34,3,133,South Indian,Dinner,1,0,WhatsApp
228,Bengaluru,18-24,5,188,Healthy,Late Night,1,1,WhatsApp
229,Bengaluru,18-24,6,338,South Indian,Dinner,1,0,Swiggy
230,Bengaluru,25-34,3,238,Fast Food,Breakfast,0,0,Swiggy
231,Bengaluru,25-34,2,337,Fast Food,Late Night,0,1,WhatsApp
232,Bengaluru,25-34,3,199,North Indian,Late Night,0,0,WhatsApp
233,Bengaluru,18-24,3,184,South Indian,Lunch,0,0,WhatsApp
234,Bengaluru,18-24,6,314,Chinese,Late Night,0,1,Zomato
235,Bengaluru,25-34,3,319,North Indian,Lunch,0,0,Zomato
236,Bengaluru,25-34,5,406,Continental,Breakfast,0,0,Swiggy
237,Bengaluru,25-34,3,454,Fast Food,Dinner,1,0,Swiggy
238,Bengaluru,25-34,3,263,South Indian,Breakfast,0,0,Direct App
239,Bengaluru,18-24,5,168,South Indian,Lunch,0,1,WhatsApp
240,Bengaluru,45-54,0,523,North Indian,Dinner,0,1,WhatsApp
241,Bengaluru,18-24,4,268,Healthy,Lunch,1,0,Direct App
242,Bengaluru,25-34,3,299,Chinese,Late Night,0,1,Zomato
243,Bengaluru,25-34,3,266,North Indian,Late Night,0,0,Direct App
244,Bengaluru,25-34,3,284,Chinese,Dinner,1,0,Zomato
245,Bengaluru,25-34,3,273,Continental,Dinner,0,1,WhatsApp
246,Bengaluru,18-24,2,307,Healthy,Dinner,0,0,Swiggy
247,Bengaluru,25-34,4,312,Chinese,Lunch,1,0,WhatsApp
248,Bengaluru,25-34,4,343,Healthy,Breakfast,0,1,Direct App
249,Bengaluru,25-34,3,274,North Indian,Dinner,0,0,Zomato
250,Bengaluru,45-54,2,442,Fast Food,Lunch,1,0,Swiggy
